72 authors x 7 steps; 0 done, 504 to run
[1/504] 3381418 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (12.2s/call, ~102 min left)
[215/504] 3435468 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~14 min left)
[216/504] 3435468 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~14 min left)
[217/504] 3435468 n=1600 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~14 min left)
[218/504] 3716597 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~13 min left)
[219/504] 3716597 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~13 min left)
[220/504] 3716597 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~13 min left)
[221/504] 3716597 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~13 min left)
[222/504] 3716597 n=400 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~13 min left)
[223/504] 3716597 n=800 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~13 min left)
[224/504] 3716597 n=1600 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~13 min left)
[225/504] 3810098 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~13 min left)
[226/504] 3810098 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~13 min left)
[227/504] 3810098 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~13 min left)
[228/504] 3810098 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~13 min left)
[229/504] 3810098 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~13 min left)
[230/504] 3810098 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~13 min left)
[231/504] 3810098 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~13 min left)
[232/504] 3698710 n=25 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (2.8s/call, ~13 min left)
[233/504] 3698710 n=50 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (2.8s/call, ~13 min left)
[234/504] 3698710 n=100 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (2.8s/call, ~13 min left)
[235/504] 3698710 n=200 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (2.8s/call, ~13 min left)
[236/504] 3698710 n=400 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Leo'} (2.8s/call, ~13 min left)
[237/504] 3698710 n=800 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Leo'} (2.8s/call, ~13 min left)
[238/504] 3698710 n=1600 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~13 min left)
[239/504] 1808929 n=25 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Virgo'} (2.8s/call, ~12 min left)
[240/504] 1808929 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Sagittarius'} (2.8s/call, ~12 min left)
[241/504] 1808929 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Sagittarius'} (2.8s/call, ~12 min left)
[242/504] 1808929 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~12 min left)
[243/504] 1808929 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~12 min left)
[244/504] 1808929 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~12 min left)
[245/504] 1808929 n=1600 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~12 min left)
[246/504] 3756734 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~12 min left)
[247/504] 3756734 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~12 min left)
[248/504] 3756734 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~12 min left)
[249/504] 3756734 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~12 min left)
[250/504] 3756734 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~12 min left)
[251/504] 3756734 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~12 min left)
[252/504] 3756734 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~12 min left)
[253/504] 2575852 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~12 min left)
[254/504] 2575852 n=50 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~12 min left)
[255/504] 2575852 n=100 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~12 min left)
[256/504] 2575852 n=200 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~12 min left)
[257/504] 2575852 n=400 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~12 min left)
[258/504] 2575852 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~12 min left)
[259/504] 2575852 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~12 min left)
[260/504] 3887264 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~11 min left)
[261/504] 3887264 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~11 min left)
[262/504] 3887264 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~11 min left)
[263/504] 3887264 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~11 min left)
[264/504] 3887264 n=400 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Libra'} (2.8s/call, ~11 min left)
[265/504] 3887264 n=800 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Leo'} (2.8s/call, ~11 min left)
[266/504] 3887264 n=1600 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Leo'} (2.8s/call, ~11 min left)
[267/504] 3920536 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Taurus'} (2.8s/call, ~11 min left)
[268/504] 3920536 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~11 min left)
[269/504] 3920536 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~11 min left)
[270/504] 3920536 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~11 min left)
[271/504] 3920536 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~11 min left)
[272/504] 3920536 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~11 min left)
[273/504] 3920536 n=1600 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~11 min left)
[274/504] 3698145 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~11 min left)
[275/504] 3698145 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~11 min left)
[276/504] 3698145 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~11 min left)
[277/504] 3698145 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~11 min left)
[278/504] 3698145 n=400 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~11 min left)
[279/504] 3698145 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~11 min left)
[280/504] 3698145 n=1600 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~11 min left)
[281/504] 3098603 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~11 min left)
[282/504] 3098603 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.8s/call, ~10 min left)
[283/504] 3098603 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~10 min left)
[284/504] 3098603 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~10 min left)
[285/504] 3098603 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~10 min left)
[286/504] 3098603 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~10 min left)
[287/504] 3098603 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~10 min left)
[288/504] 3833893 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~10 min left)
[289/504] 3833893 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~10 min left)
[290/504] 3833893 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~10 min left)
[291/504] 3833893 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~10 min left)
[292/504] 3833893 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~10 min left)
[293/504] 3833893 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~10 min left)
[294/504] 3833893 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~10 min left)
[295/504] 3798616 n=25 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Virgo'} (2.8s/call, ~10 min left)
[296/504] 3798616 n=50 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Virgo'} (2.8s/call, ~10 min left)
[297/504] 3798616 n=100 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~10 min left)
[298/504] 3798616 n=200 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~10 min left)
[299/504] 3798616 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Virgo'} (2.8s/call, ~10 min left)
[300/504] 3798616 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Virgo'} (2.8s/call, ~10 min left)
[301/504] 3798616 n=1600 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Pisces'} (2.8s/call, ~10 min left)
[302/504] 2709783 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Aries'} (2.8s/call, ~9 min left)
[303/504] 2709783 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Aries'} (2.8s/call, ~9 min left)
[304/504] 2709783 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Scorpio'} (2.8s/call, ~9 min left)
[305/504] 2709783 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Scorpio'} (2.8s/call, ~9 min left)
[306/504] 2709783 n=400 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Scorpio'} (2.8s/call, ~9 min left)
[307/504] 2709783 n=800 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Scorpio'} (2.8s/call, ~9 min left)
[308/504] 2709783 n=1600 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~9 min left)
[309/504] 1730459 n=25 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~9 min left)
[310/504] 1730459 n=50 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~9 min left)
[311/504] 1730459 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~9 min left)
[312/504] 1730459 n=200 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~9 min left)
[313/504] 1730459 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~9 min left)
[314/504] 1730459 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~9 min left)
[315/504] 1730459 n=1600 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Scorpio'} (2.8s/call, ~9 min left)
[316/504] 3957524 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~9 min left)
[317/504] 3957524 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~9 min left)
[318/504] 3957524 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~9 min left)
[319/504] 3957524 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~9 min left)
[320/504] 3957524 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~9 min left)
[321/504] 3957524 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~9 min left)
[322/504] 3957524 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~9 min left)
[323/504] 3137696 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~8 min left)
[324/504] 3137696 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~8 min left)
[325/504] 3137696 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~8 min left)
[326/504] 3137696 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~8 min left)
[327/504] 3137696 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~8 min left)
[328/504] 3137696 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.8s/call, ~8 min left)
[329/504] 3137696 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.8s/call, ~8 min left)
[330/504] 4255701 n=25 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~8 min left)
[331/504] 4255701 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~8 min left)
[332/504] 4255701 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~8 min left)
[333/504] 4255701 n=200 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~8 min left)
[334/504] 4255701 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~8 min left)
[335/504] 4255701 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~8 min left)
[336/504] 4255701 n=1600 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~8 min left)
[337/504] 3025353 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~8 min left)
[338/504] 3025353 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~8 min left)
[339/504] 3025353 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~8 min left)
[340/504] 3025353 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~8 min left)
[341/504] 3025353 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~8 min left)
[342/504] 3025353 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~8 min left)
[343/504] 3025353 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~8 min left)
[344/504] 3290381 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Scorpio'} (2.8s/call, ~7 min left)
[345/504] 3290381 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Scorpio'} (2.8s/call, ~7 min left)
[346/504] 3290381 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~7 min left)
[347/504] 3290381 n=200 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~7 min left)
[348/504] 3290381 n=400 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~7 min left)
[349/504] 3290381 n=800 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~7 min left)
[350/504] 3290381 n=1600 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~7 min left)
[351/504] 3668958 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~7 min left)
[352/504] 3668958 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~7 min left)
[353/504] 3668958 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~7 min left)
[354/504] 3668958 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~7 min left)
[355/504] 3668958 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~7 min left)
[356/504] 3668958 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~7 min left)
[357/504] 3668958 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~7 min left)
[358/504] 1908852 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~7 min left)
[359/504] 1908852 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~7 min left)
[360/504] 1908852 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~7 min left)
[361/504] 1908852 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~7 min left)
[362/504] 1908852 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~7 min left)
[363/504] 1908852 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~7 min left)
[364/504] 1908852 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~7 min left)
[365/504] 3809990 n=25 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Capricorn'} (2.8s/call, ~7 min left)
[366/504] 3809990 n=50 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~6 min left)
[367/504] 3809990 n=100 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~6 min left)
[368/504] 3809990 n=200 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~6 min left)
[369/504] 3809990 n=400 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~6 min left)
[370/504] 3809990 n=800 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~6 min left)
[371/504] 3809990 n=1600 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~6 min left)
[372/504] 3557420 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~6 min left)
[373/504] 3557420 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~6 min left)
[374/504] 3557420 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~6 min left)
[375/504] 3557420 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~6 min left)
[376/504] 3557420 n=400 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~6 min left)
[377/504] 3557420 n=800 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~6 min left)
[378/504] 3557420 n=1600 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~6 min left)
[379/504] 1091544 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Scorpio'} (2.8s/call, ~6 min left)
[380/504] 1091544 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Scorpio'} (2.8s/call, ~6 min left)
[381/504] 1091544 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Scorpio'} (2.8s/call, ~6 min left)
[382/504] 1091544 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~6 min left)
[383/504] 1091544 n=400 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~6 min left)
[384/504] 1091544 n=800 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~6 min left)
[385/504] 1091544 n=1600 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~6 min left)
[386/504] 3634853 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~6 min left)
[387/504] 3634853 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Pisces'} (2.8s/call, ~5 min left)
[388/504] 3634853 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Pisces'} (2.8s/call, ~5 min left)
[389/504] 3634853 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~5 min left)
[390/504] 3634853 n=400 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~5 min left)
[391/504] 3634853 n=800 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~5 min left)
[392/504] 3634853 n=1600 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~5 min left)
[393/504] 3541168 n=25 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~5 min left)
[394/504] 3541168 n=50 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~5 min left)
[395/504] 3541168 n=100 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~5 min left)
[396/504] 3541168 n=200 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~5 min left)
[397/504] 3541168 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~5 min left)
[398/504] 3541168 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~5 min left)
[399/504] 3541168 n=1600 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~5 min left)
[400/504] 2230722 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~5 min left)
[401/504] 2230722 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~5 min left)
[402/504] 2230722 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~5 min left)
[403/504] 2230722 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~5 min left)
[404/504] 2230722 n=400 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~5 min left)
[405/504] 2230722 n=800 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~5 min left)
[406/504] 2230722 n=1600 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~5 min left)
[407/504] 3322160 n=25 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~5 min left)
[408/504] 3322160 n=50 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~5 min left)
[409/504] 3322160 n=100 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~4 min left)
[410/504] 3322160 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~4 min left)
[411/504] 3322160 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~4 min left)
[412/504] 3322160 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~4 min left)
[413/504] 3322160 n=1600 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~4 min left)
[414/504] 3343379 n=25 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (2.8s/call, ~4 min left)
[415/504] 3343379 n=50 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (2.8s/call, ~4 min left)
[416/504] 3343379 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~4 min left)
[417/504] 3343379 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~4 min left)
[418/504] 3343379 n=400 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~4 min left)
[419/504] 3343379 n=800 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~4 min left)
[420/504] 3343379 n=1600 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~4 min left)
[421/504] 4051641 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.8s/call, ~4 min left)
[422/504] 4051641 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.8s/call, ~4 min left)
[423/504] 4051641 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~4 min left)
[424/504] 4051641 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~4 min left)
[425/504] 4051641 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~4 min left)
[426/504] 4051641 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~4 min left)
[427/504] 4051641 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~4 min left)
[428/504] 4293578 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Gemini'} (2.8s/call, ~4 min left)
[429/504] 4293578 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Gemini'} (2.8s/call, ~4 min left)
